timestamp,price,datetime,last_digit
1758273578,1109.97,2025-09-19 09:19:38,7
1758273580,1110.46,2025-09-19 09:19:40,6
1758273582,1110.39,2025-09-19 09:19:42,9
1758273584,1110.77,2025-09-19 09:19:44,7
1758273586,1110.83,2025-09-19 09:19:46,3
1758273588,1110.78,2025-09-19 09:19:48,8
1758273590,1110.36,2025-09-19 09:19:50,6
1758273592,1110.29,2025-09-19 09:19:52,9
1758273594,1110.44,2025-09-19 09:19:54,4
1758273596,1109.91,2025-09-19 09:19:56,1
1758273598,1109.4,2025-09-19 09:19:58,4
1758273600,1109.07,2025-09-19 09:20:00,7
1758273602,1108.69,2025-09-19 09:20:02,9
1758273604,1107.96,2025-09-19 09:20:04,6
1758273606,1108.12,2025-09-19 09:20:06,2
1758273608,1107.8,2025-09-19 09:20:08,8
1758273610,1107.59,2025-09-19 09:20:10,9
1758273612,1107.75,2025-09-19 09:20:12,5
1758273614,1107.94,2025-09-19 09:20:14,4
1758273616,1108.04,2025-09-19 09:20:16,4
1758273618,1108.1,2025-09-19 09:20:18,1
1758273620,1107.68,2025-09-19 09:20:20,8
1758273622,1107.71,2025-09-19 09:20:22,1
1758273624,1107.55,2025-09-19 09:20:24,5
1758273626,1107.35,2025-09-19 09:20:26,5
1758273628,1107.49,2025-09-19 09:20:28,9
1758273630,1106.99,2025-09-19 09:20:30,9
1758273632,1107.19,2025-09-19 09:20:32,9
1758273634,1107.09,2025-09-19 09:20:34,9
1758273636,1107.16,2025-09-19 09:20:36,6
1758273638,1107.06,2025-09-19 09:20:38,6
1758273640,1106.94,2025-09-19 09:20:40,4
1758273642,1107.11,2025-09-19 09:20:42,1
1758273644,1107.36,2025-09-19 09:20:44,6
1758273646,1106.99,2025-09-19 09:20:46,9
1758273648,1107.23,2025-09-19 09:20:48,3
1758273650,1107.41,2025-09-19 09:20:50,1
1758273652,1106.97,2025-09-19 09:20:52,7
1758273654,1106.9,2025-09-19 09:20:54,9
1758273656,1106.99,2025-09-19 09:20:56,9
1758273658,1107.12,2025-09-19 09:20:58,2
1758273660,1107.83,2025-09-19 09:21:00,3
1758273662,1107.68,2025-09-19 09:21:02,8
1758273664,1107.91,2025-09-19 09:21:04,1
1758273666,1107.81,2025-09-19 09:21:06,1
1758273668,1107.5,2025-09-19 09:21:08,5
1758273670,1107.63,2025-09-19 09:21:10,3
1758273672,1107.69,2025-09-19 09:21:12,9
1758273674,1107.43,2025-09-19 09:21:14,3
1758273676,1107.52,2025-09-19 09:21:16,2
1758273678,1107.72,2025-09-19 09:21:18,2
1758273680,1107.78,2025-09-19 09:21:20,8
1758273682,1107.39,2025-09-19 09:21:22,9
1758273684,1107.23,2025-09-19 09:21:24,3
1758273686,1107.79,2025-09-19 09:21:26,9
1758273688,1107.86,2025-09-19 09:21:28,6
1758273690,1108.01,2025-09-19 09:21:30,1
1758273692,1107.96,2025-09-19 09:21:32,6
1758273694,1108.15,2025-09-19 09:21:34,5
1758273696,1108.14,2025-09-19 09:21:36,4
1758273698,1108.46,2025-09-19 09:21:38,6
1758273700,1107.95,2025-09-19 09:21:40,5
1758273702,1107.43,2025-09-19 09:21:42,3
1758273704,1107.08,2025-09-19 09:21:44,8
1758273706,1107.0,2025-09-19 09:21:46,0
1758273708,1107.07,2025-09-19 09:21:48,7
1758273710,1107.15,2025-09-19 09:21:50,5
1758273712,1107.01,2025-09-19 09:21:52,1
1758273714,1107.31,2025-09-19 09:21:54,1
1758273716,1107.49,2025-09-19 09:21:56,9
1758273718,1107.62,2025-09-19 09:21:58,2
1758273720,1107.83,2025-09-19 09:22:00,3
1758273722,1107.95,2025-09-19 09:22:02,5
1758273724,1108.25,2025-09-19 09:22:04,5
1758273726,1108.31,2025-09-19 09:22:06,1
1758273728,1108.2,2025-09-19 09:22:08,2
1758273730,1108.31,2025-09-19 09:22:10,1
1758273732,1108.31,2025-09-19 09:22:12,1
1758273734,1108.75,2025-09-19 09:22:14,5
1758273736,1108.78,2025-09-19 09:22:16,8
1758273738,1108.83,2025-09-19 09:22:18,3
1758273740,1108.73,2025-09-19 09:22:20,3
1758273742,1108.61,2025-09-19 09:22:22,1
1758273744,1108.77,2025-09-19 09:22:24,7
1758273746,1109.3,2025-09-19 09:22:26,3
1758273748,1109.34,2025-09-19 09:22:28,4
1758273750,1109.03,2025-09-19 09:22:30,3
